trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,1,-46.5967624954676,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-143.46055378462881,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-158.54892792604687,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,1,-12.152488984849137,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-77.98815630483774,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-136.41800866382368,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-79.35835330798287,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-116.5845841212832,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-69.19166134639956,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-199.6529687005696,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-56.11847560244126,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8253356149096782}",20,0,-187.17814762658548,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.7960837985490558}",20,13,-46.46880969466544,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
